gse	dataOrigin	dataCategory	analysisSoftware	param
GPL6480	GEO	GPL	add_manully	{probeId:'ID',symbol:'GENE_SYMBOL'}
GSE10469	GEO	GSE	add_manully	
GSE10878	GEO	GSE	add_manully	
GSE12435	GEO	GSE	add_manully	
GSE12493	GEO	GSE	add_manully	
GSE12531	GEO	GSE	add_manully	
GSE12664	GEO	GSE	add_manully	
GSE12665	GEO	GSE	add_manully	
GSE13213	GEO	GSE	add_manully	
GSE13357	GEO	GSE	add_manully	
GSE13462	GEO	GSE	add_manully	
GSE13571	GEO	GSE	add_manully	
GSE13600	GEO	GSE	add_manully	
GSE13893	GEO	GSE	add_manully	
GSE14232	GEO	GSE	add_manully	
GSE14273	GEO	GSE	add_manully	
GSE14281	GEO	GSE	add_manully	
GSE14284	GEO	GSE	add_manully	
GSE14422	GEO	GSE	add_manully	
GSE14445	GEO	GSE	add_manully	
GSE14487	GEO	GSE	add_manully	
GSE14529	GEO	GSE	add_manully	
GSE14532	GEO	GSE	add_manully	
GSE14533	GEO	GSE	add_manully	
GSE14838	GEO	GSE	add_manully	
GSE14922	GEO	GSE	add_manully	
GSE15170	GEO	GSE	add_manully	
GSE15191	GEO	GSE	add_manully	
GSE15197	GEO	GSE	add_manully	
GSE15259	GEO	GSE	add_manully	
GSE15266	GEO	GSE	add_manully	
GSE15327	GEO	GSE	add_manully	
GSE15366	GEO	GSE	add_manully	
GSE16004	GEO	GSE	add_manully	
GSE16076	GEO	GSE	add_manully	
GSE16077	GEO	GSE	add_manully	
GSE16239	GEO	GSE	add_manully	
GSE16255	GEO	GSE	add_manully	
GSE16337	GEO	GSE	add_manully	
GSE16425	GEO	GSE	add_manully	
GSE16441	GEO	GSE	add_manully	
GSE16449	GEO	GSE	add_manully	
GSE16627	GEO	GSE	add_manully	
GSE16628	GEO	GSE	add_manully	
GSE16637	GEO	GSE	add_manully	
GSE16643	GEO	GSE	add_manully	
GSE16706	GEO	GSE	add_manully	
GSE16763	GEO	GSE	add_manully	
GSE16858	GEO	GSE	add_manully	
GSE16890	GEO	GSE	add_manully	
GSE16891	GEO	GSE	add_manully	
GSE16935	GEO	GSE	add_manully	
GSE16991	GEO	GSE	add_manully	
GSE16998	GEO	GSE	add_manully	
GSE16999	GEO	GSE	add_manully	
GSE17034	GEO	GSE	add_manully	
GSE17068	GEO	GSE	add_manully	
GSE17118	GEO	GSE	add_manully	
GSE17188	GEO	GSE	add_manully	
GSE17260	GEO	GSE	add_manully	
GSE17261	GEO	GSE	add_manully	
GSE17399	GEO	GSE	add_manully	
GSE17493	GEO	GSE	add_manully	
GSE17676	GEO	GSE	add_manully	
GSE17856	GEO	GSE	add_manully	
GSE18054	GEO	GSE	add_manully	
GSE18058	GEO	GSE	add_manully	
GSE18378	GEO	GSE	add_manully	
GSE18510	GEO	GSE	add_manully	
GSE18512	GEO	GSE	add_manully	
GSE18553	GEO	GSE	add_manully	
GSE18606	GEO	GSE	add_manully	
GSE18760	GEO	GSE	add_manully	
GSE18967	GEO	GSE	add_manully	
GSE19052	GEO	GSE	add_manully	
GSE19078	GEO	GSE	add_manully	
GSE19232	GEO	GSE	add_manully	
GSE19236	GEO	GSE	add_manully	
GSE19422	GEO	GSE	add_manully	
GSE19536	GEO	GSE	add_manully	
GSE19612	GEO	GSE	add_manully	
GSE19617	GEO	GSE	add_manully	
GSE19642	GEO	GSE	add_manully	
GSE19704	GEO	GSE	add_manully	
GSE19724	GEO	GSE	add_manully	
GSE19783	GEO	GSE	add_manully	
GSE19835	GEO	GSE	add_manully	
GSE19919	GEO	GSE	add_manully	
GSE20013	GEO	GSE	add_manully	
GSE20014	GEO	GSE	add_manully	
GSE20088	GEO	GSE	add_manully	
GSE20162	GEO	GSE	add_manully	
GSE20170	GEO	GSE	add_manully	
GSE20173	GEO	GSE	add_manully	
GSE20277	GEO	GSE	add_manully	
GSE20463	GEO	GSE	add_manully	
GSE20563	GEO	GSE	add_manully	
GSE20629	GEO	GSE	add_manully	
GSE20668	GEO	GSE	add_manully	
GSE20706	GEO	GSE	add_manully	
GSE20722	GEO	GSE	add_manully	
GSE20753	GEO	GSE	add_manully	
GSE20755	GEO	GSE	add_manully	
GSE20914	GEO	GSE	add_manully	
GSE20945	GEO	GSE	add_manully	
GSE20951	GEO	GSE	add_manully	
GSE21059	GEO	GSE	add_manully	
GSE21240	GEO	GSE	add_manully	
